,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
0,Schindler's List,(1993),R,195 min,"Biography, Drama, History",9.0,95        ,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",['Steven Spielberg'],"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']","1,386,502",$96.90M
1,Goodfellas,(1990),R,145 min,"Biography, Crime, Drama",8.7,92        ,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",['Martin Scorsese'],"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']","1,193,150",$46.84M
2,The Pianist,(2002),R,150 min,"Biography, Drama, Music",8.5,85        ,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,['Roman Polanski'],"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox']","857,182",$32.57M
3,The Intouchables,(2011),R,112 min,"Biography, Comedy, Drama",8.5,57        ,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","['Olivier Nakache', 'Éric Toledano']","['François Cluzet', 'Omar Sy', 'Anne Le Ny', 'Audrey Fleurot']","882,506",$13.18M
4,Hamilton,(2020),PG-13,160 min,"Biography, Drama, History",8.4,89        ,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",['Thomas Kail'],"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.', 'Renée Elise Goldsberry']","101,732",-
5,Amadeus,(1984),R,160 min,"Biography, Drama, Music",8.4,88        ,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",['Milos Forman'],"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice']","410,050",$51.97M
6,Sardar Udham,(2021),TV-MA,164 min,"Biography, Crime, Drama",8.4,-,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,['Shoojit Sircar'],"['Vicky Kaushal', 'Shaun Scott', 'Stephen Hogan', 'Amol Parashar']","44,188",-
7,Braveheart,(1995),R,178 min,"Biography, Drama, History",8.3,68        ,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,['Mel Gibson'],"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']","1,056,485",$75.60M
8,Lawrence of Arabia,(1962),Approved,218 min,"Adventure, Biography, Drama",8.3,100        ,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",['David Lean'],"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins']","301,403",$44.82M
9,Dangal,(2016),Not Rated,161 min,"Action, Biography, Drama",8.3,-,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,['Nitesh Tiwari'],"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']","197,560",$12.39M
10,Shershaah,(2021),TV-14,135 min,"Action, Biography, Drama",8.3,-,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999.",['Vishnuvardhan'],"['Sidharth Malhotra', 'Kiara Advani', 'Shiv Panditt', 'Pranay Pachauri']","124,879",-
11,The Wolf of Wall Street,(2013),R,180 min,"Biography, Comedy, Crime",8.2,75        ,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",['Martin Scorsese'],"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey']","1,465,376",$116.90M
12,Green Book,(2018),PG-13,130 min,"Biography, Comedy, Drama",8.2,69        ,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,['Peter Farrelly'],"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco']","520,159",$85.08M
13,A Beautiful Mind,(2001),PG-13,135 min,"Biography, Drama",8.2,72        ,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",['Ron Howard'],"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly', 'Christopher Plummer']","951,110",$170.74M
14,Downfall,(2004),R,156 min,"Biography, Drama, History",8.2,82        ,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",['Oliver Hirschbiegel'],"['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes', 'Juliane Köhler']","362,627",$5.51M
15,The Elephant Man,(1980),PG,124 min,"Biography, Drama",8.2,78        ,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",['David Lynch'],"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft', 'John Gielgud']","248,126",-
16,Dersu Uzala,(1975),G,142 min,"Adventure, Biography, Drama",8.2,-,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,['Akira Kurosawa'],"['Maksim Munzuk', 'Yuriy Solomin', 'Mikhail Bychkov', 'Vladimir Khrulyov']","31,929",-
17,The Passion of Joan of Arc,(1928),Passed,114 min,"Biography, Drama, History",8.2,98        ,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",['Carl Theodor Dreyer'],"['Maria Falconetti', 'Eugene Silvain', 'André Berley', 'Maurice Schutz']","57,356",$0.02M
18,Close-Up,(1990),Not Rated,98 min,"Biography, Crime, Drama",8.2,92        ,"The true story of Hossain Sabzian, a cinephile who impersonated the director Mohsen Makhmalbaf to convince a family they would star in his so-called new film.",['Abbas Kiarostami'],"['Hossain Sabzian', 'Mohsen Makhmalbaf', 'Abolfazl Ahankhah', 'Mehrdad Ahankhah']","21,252",$0.00M
19,Bhaag Milkha Bhaag,(2013),Not Rated,186 min,"Biography, Drama, Sport",8.2,-,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",['Rakeysh Omprakash Mehra'],"['Farhan Akhtar', 'Japtej Singh', 'Divya Dutta', 'Pawan Malhotra']","69,840",$1.63M
