,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
0,Sunset Blvd.,(1950),Passed,110 min,"Drama, Film-Noir",8.4,94        ,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,['Billy Wilder'],"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson']","227,072",-
1,Double Indemnity,(1944),Passed,107 min,"Crime, Drama, Film-Noir",8.3,95        ,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",['Billy Wilder'],"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson', 'Byron Barr']","160,948",$5.72M
2,Rebecca,(1940),Approved,130 min,"Drama, Film-Noir, Mystery",8.1,86        ,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,['Alfred Hitchcock'],"['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson']","140,906",$4.36M
3,The Third Man,(1949),Approved,93 min,"Film-Noir, Mystery, Thriller",8.1,97        ,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",['Carol Reed'],"['Orson Welles', 'Joseph Cotten', 'Alida Valli', 'Trevor Howard']","175,483",$0.45M
4,White Heat,(1949),Not Rated,114 min,"Action, Crime, Drama",8.1,-,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,['Raoul Walsh'],"['James Cagney', 'Virginia Mayo', ""Edmond O'Brien"", 'Margaret Wycherly']","34,312",-
5,Ace in the Hole,(1951),Approved,111 min,"Drama, Film-Noir",8.1,72        ,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",['Billy Wilder'],"['Kirk Douglas', 'Jan Sterling', 'Robert Arthur', 'Porter Hall']","37,473",$3.97M
6,Out of the Past,(1947),Not Rated,97 min,"Crime, Drama, Film-Noir",8.0,85        ,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames.",['Jacques Tourneur'],"['Robert Mitchum', 'Jane Greer', 'Kirk Douglas', 'Rhonda Fleming']","38,984",-
7,The Night of the Hunter,(1955),Not Rated,92 min,"Crime, Drama, Film-Noir",8.0,97        ,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",['Charles Laughton'],"['Robert Mitchum', 'Shelley Winters', 'Lillian Gish', 'James Gleason']","92,438",$0.65M
8,The Maltese Falcon,(1941),Passed,100 min,"Crime, Film-Noir, Mystery",8.0,97        ,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered.",['John Huston'],"['Humphrey Bogart', 'Mary Astor', 'Gladys George', 'Peter Lorre']","162,376",$2.11M
9,Sweet Smell of Success,(1957),Approved,96 min,"Drama, Film-Noir",8.0,100        ,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,['Alexander Mackendrick'],"['Burt Lancaster', 'Tony Curtis', 'Susan Harrison', 'Martin Milner']","33,851",-
10,Touch of Evil,(1958),PG-13,95 min,"Crime, Drama, Film-Noir",8.0,99        ,"A stark, perverse story of murder, kidnapping and police corruption in a Mexican border town.",['Orson Welles'],"['Charlton Heston', 'Orson Welles', 'Janet Leigh', 'Joseph Calleia']","106,995",$2.24M
11,The Big Sleep,(1946),Passed,114 min,"Crime, Film-Noir, Mystery",7.9,86        ,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love.",['Howard Hawks'],"['Humphrey Bogart', 'Lauren Bacall', 'John Ridgely', 'Martha Vickers']","88,040",$6.54M
12,Notorious,(1946),Not Rated,102 min,"Drama, Film-Noir, Romance",7.9,100        ,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?,['Alfred Hitchcock'],"['Cary Grant', 'Ingrid Bergman', 'Claude Rains', 'Louis Calhern']","103,718",$10.46M
13,The Killing,(1956),Approved,84 min,"Crime, Drama, Film-Noir",7.9,91        ,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.,['Stanley Kubrick'],"['Sterling Hayden', 'Coleen Gray', 'Vince Edwards', 'Jay C. Flippen']","92,759",-
