,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
0,Schindler's List,(1993),R,195 min,"Biography, Drama, History",9.0,95        ,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",['Steven Spielberg'],"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']","1,386,502",$96.90M
1,Hamilton,(2020),PG-13,160 min,"Biography, Drama, History",8.4,89        ,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",['Thomas Kail'],"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.', 'Renée Elise Goldsberry']","101,732",-
2,Sardar Udham,(2021),TV-MA,164 min,"Biography, Crime, Drama",8.4,-,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,['Shoojit Sircar'],"['Vicky Kaushal', 'Shaun Scott', 'Stephen Hogan', 'Amol Parashar']","44,188",-
3,Black Friday,(2004),Not Rated,143 min,"Action, Crime, Drama",8.4,76        ,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",['Anurag Kashyap'],"['Kay Kay Menon', 'Pawan Malhotra', 'Aditya Srivastav', 'Dibyendu Bhattacharya']","21,456",$0.03M
4,Braveheart,(1995),R,178 min,"Biography, Drama, History",8.3,68        ,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,['Mel Gibson'],"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']","1,056,485",$75.60M
5,Downfall,(2004),R,156 min,"Biography, Drama, History",8.2,82        ,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",['Oliver Hirschbiegel'],"['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes', 'Juliane Köhler']","362,627",$5.51M
6,The Great Escape,(1963),Approved,172 min,"Adventure, Drama, History",8.2,86        ,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,['John Sturges'],"['Steve McQueen', 'James Garner', 'Richard Attenborough', 'Charles Bronson']","249,686",$12.10M
7,Uri: The Surgical Strike,(2019),Not Rated,138 min,"Action, Drama, History",8.2,-,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",['Aditya Dhar'],"['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina', 'Yami Gautam']","67,476",$4.19M
8,The Passion of Joan of Arc,(1928),Passed,114 min,"Biography, Drama, History",8.2,98        ,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",['Carl Theodor Dreyer'],"['Maria Falconetti', 'Eugene Silvain', 'André Berley', 'Maurice Schutz']","57,356",$0.02M
9,Hacksaw Ridge,(2016),R,139 min,"Biography, Drama, History",8.1,71        ,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",['Mel Gibson'],"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer']","550,715",$67.21M
