,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
0,Alien,(1979),R,117 min,"Horror, Sci-Fi",8.5,89        ,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,['Ridley Scott'],"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']","904,275",$78.90M
1,Psycho,(1960),R,109 min,"Horror, Mystery, Thriller",8.5,97        ,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",['Alfred Hitchcock'],"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']","688,388",$32.00M
2,The Shining,(1980),R,146 min,"Drama, Horror",8.4,66        ,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",['Stanley Kubrick'],"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']","1,050,340",$44.02M
3,The Thing,(1982),16+,109 min,"Horror, Mystery, Sci-Fi",8.2,57        ,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,['John Carpenter'],"['Kurt Russell', 'Wilford Brimley', 'Keith David', 'Richard Masur']","439,203",$13.78M
4,Tumbbad,(2018),Not Rated,104 min,"Drama, Fantasy, Horror",8.2,-,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,"['Rahi Anil Barve', 'Anand Gandhi', 'Adesh Prasad']","['Sohum Shah', 'Jyoti Malshe', 'Anita Date-Kelkar', 'Ronjini Chakraborty']","53,128",-
5,The Exorcist,(1973),R,122 min,Horror,8.1,81        ,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",['William Friedkin'],"['Ellen Burstyn', 'Max von Sydow', 'Linda Blair', 'Lee J. Cobb']","421,758",$232.91M
6,Diabolique,(1955),Not Rated,117 min,"Crime, Drama, Horror",8.1,-,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,['Henri-Georges Clouzot'],"['Simone Signoret', 'Véra Clouzot', 'Paul Meurisse', 'Charles Vanel']","67,427",$1.09M
7,Rosemary's Baby,(1968),Approved,137 min,"Drama, Horror",8.0,96        ,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.",['Roman Polanski'],"['Mia Farrow', 'John Cassavetes', 'Ruth Gordon', 'Sidney Blackmer']","223,759",-
8,What Ever Happened to Baby Jane?,(1962),Passed,134 min,"Drama, Horror, Thriller",8.0,75        ,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,['Robert Aldrich'],"['Bette Davis', 'Joan Crawford', 'Victor Buono', 'Wesley Addy']","58,841",$4.05M
9,The Cabinet of Dr. Caligari,(1920),Not Rated,67 min,"Horror, Mystery, Thriller",8.0,-,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",['Robert Wiene'],"['Werner Krauss', 'Conrad Veidt', 'Friedrich Feher', 'Lil Dagover']","66,681",-
10,The Blue Elephant,(2014),Not Rated,170 min,"Drama, Horror, Mystery",8.0,-,"While trying to help an inmate at the mental hospital, a psychotherapist unravels mysteries he never thought existed.",['Marwan Hamed'],"['Karim Abdel Aziz', 'Khaled El-Sawi', 'Nilli Karim', 'Mohamed Mamdouh']","29,120",-
11,Shaun of the Dead,(2004),R,99 min,"Comedy, Horror",7.9,76        ,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.",['Edgar Wright'],"['Simon Pegg', 'Nick Frost', 'Kate Ashfield', 'Lucy Davis']","571,747",$13.54M
12,Nosferatu,(1922),Not Rated,94 min,"Fantasy, Horror",7.9,-,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,['F.W. Murnau'],"['Max Schreck', 'Alexander Granach', 'Gustav von Wangenheim', 'Greta Schröder']","100,843",-
13,Let the Right One In,(2008),R,114 min,"Drama, Fantasy, Horror",7.9,82        ,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",['Tomas Alfredson'],"['Kåre Hedebrant', 'Lina Leandersson', 'Per Ragnar', 'Henrik Dahl']","221,512",$2.12M
14,King Kong,(1933),Passed,100 min,"Adventure, Horror, Sci-Fi",7.9,92        ,"A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City.","['Merian C. Cooper', 'Ernest B. Schoedsack']","['Fay Wray', 'Robert Armstrong', 'Bruce Cabot', 'Frank Reicher']","87,963",$10.00M
15,Onibaba,(1964),Not Rated,103 min,"Drama, Horror, Thriller",7.9,-,"Two women kill samurai and sell their belongings for a living. While one of them is having an affair with their neighbor, the other woman meets a mysterious samurai wearing a bizarre mask.",['Kaneto Shindô'],"['Nobuko Otowa', 'Jitsuko Yoshimura', 'Kei Satô', 'Jûkichi Uno']","20,157",-
16,Get Out,(I) (2017),R,104 min,"Horror, Mystery, Thriller",7.8,85        ,"A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",['Jordan Peele'],"['Daniel Kaluuya', 'Allison Williams', 'Bradley Whitford', 'Catherine Keener']","641,628",$176.04M
17,Predator,(1987),R,107 min,"Action, Adventure, Horror",7.8,47        ,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,['John McTiernan'],"['Arnold Schwarzenegger', 'Carl Weathers', 'Kevin Peter Hall', 'Elpidia Carrillo']","434,872",$59.74M
