,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
0,Whiplash,(2014),R,106 min,"Drama, Music",8.5,89        ,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,['Damien Chazelle'],"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser']","906,277",$13.09M
1,The Pianist,(2002),R,150 min,"Biography, Drama, Music",8.5,85        ,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,['Roman Polanski'],"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox']","857,182",$32.57M
2,Coco,(I) (2017),PG,105 min,"Animation, Adventure, Comedy",8.4,81        ,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","['Lee Unkrich', 'Adrian Molina']","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']","535,622",$209.73M
3,Amadeus,(1984),R,160 min,"Biography, Drama, Music",8.4,88        ,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",['Milos Forman'],"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice']","410,050",$51.97M
4,Green Book,(2018),PG-13,130 min,"Biography, Comedy, Drama",8.2,69        ,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,['Peter Farrelly'],"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco']","520,159",$85.08M
5,Some Like It Hot,(1959),Passed,121 min,"Comedy, Music, Romance",8.2,98        ,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",['Billy Wilder'],"['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon', 'George Raft']","273,382",$25.00M
6,Farewell My Concubine,(1993),R,171 min,"Drama, Music, Romance",8.1,83        ,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,['Kaige Chen'],"['Leslie Cheung', 'Fengyi Zhang', 'Gong Li', 'You Ge']","30,900",$5.22M
7,The Red Shoes,(1948),Not Rated,135 min,"Drama, Music, Romance",8.1,-,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,"['Michael Powell', 'Emeric Pressburger']","['Anton Walbrook', 'Marius Goring', 'Moira Shearer', 'Robert Helpmann']","36,880",$10.90M
8,Autumn Sonata,(1978),PG,99 min,"Drama, Music",8.1,-,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.",['Ingmar Bergman'],"['Ingrid Bergman', 'Liv Ullmann', 'Lena Nyman', 'Halvar Björk']","35,893",-
9,La La Land,(2016),PG-13,128 min,"Comedy, Drama, Music",8.0,94        ,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",['Damien Chazelle'],"['Ryan Gosling', 'Emma Stone', 'Rosemarie DeWitt', 'J.K. Simmons']","616,301",$151.10M
10,CODA,(2021),PG-13,111 min,"Comedy, Drama, Music",8.0,72        ,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.",['Sian Heder'],"['Emilia Jones', 'Marlee Matlin', 'Troy Kotsur', 'Daniel Durant']","146,532",-
11,Soul,(2020),PG,100 min,"Animation, Adventure, Comedy",8.0,83        ,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.","['Pete Docter', 'Kemp Powers']","['Jamie Foxx', 'Tina Fey', 'Graham Norton', 'Rachel House']","346,142",-
12,Pink Floyd: The Wall,(1982),R,95 min,"Drama, Fantasy, Music",8.0,47        ,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,['Alan Parker'],"['Bob Geldof', 'Christine Hargreaves', 'James Laurenson', 'Eleanor David']","83,085",$22.24M
13,The Legend of 1900,(1998),R,169 min,"Drama, Music, Romance",8.0,58        ,"A baby boy discovered on an ocean liner in 1900 grows into a musical prodigy, never setting foot on land.",['Giuseppe Tornatore'],"['Tim Roth', 'Pruitt Taylor Vince', 'Mélanie Thierry', 'Bill Nunn']","66,694",$0.26M
14,Limelight,(1952),G,137 min,"Drama, Music, Romance",8.0,84        ,A fading comedian and a suicidally despondent ballet dancer must look to each other to find purpose and hope in their lives.,['Charles Chaplin'],"['Charles Chaplin', 'Claire Bloom', 'Nigel Bruce', 'Buster Keaton']","21,255",$1.00M
15,Almost Famous,(2000),R,122 min,"Adventure, Comedy, Drama",7.9,90        ,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,['Cameron Crowe'],"['Billy Crudup', 'Patrick Fugit', 'Kate Hudson', 'Frances McDormand']","283,979",$32.53M
