,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
0,Jai Bhim,(2021),TV-MA,164 min,"Crime, Drama, Mystery",8.8,-,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",['T.J. Gnanavel'],"['Suriya', 'Lijo Mol Jose', 'Manikandan K.', 'Rajisha Vijayan']","206,983",-
1,The Green Mile,(1999),R,189 min,"Crime, Drama, Fantasy",8.6,61        ,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.",['Frank Darabont'],"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']","1,336,687",$136.80M
2,Se7en,(1995),R,127 min,"Crime, Drama, Mystery",8.6,65        ,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",['David Fincher'],"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']","1,699,775",$100.13M
3,Spirited Away,(2001),PG,125 min,"Animation, Adventure, Family",8.6,96        ,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",['Hayao Miyazaki'],"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino', 'Rumi Hiiragi']","791,101",$10.06M
4,Harakiri,(1962),Not Rated,133 min,"Action, Drama, Mystery",8.6,85        ,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",['Masaki Kobayashi'],"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsurô Tanba']","61,125",-
5,The Prestige,(2006),PG-13,130 min,"Drama, Mystery, Sci-Fi",8.5,66        ,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",['Christopher Nolan'],"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine']","1,365,978",$53.09M
6,The Usual Suspects,(1995),R,106 min,"Crime, Drama, Mystery",8.5,77        ,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,['Bryan Singer'],"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin']","1,105,270",$23.34M
7,Psycho,(1960),R,109 min,"Horror, Mystery, Thriller",8.5,97        ,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",['Alfred Hitchcock'],"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']","688,388",$32.00M
8,Rear Window,(1954),PG,112 min,"Mystery, Thriller",8.5,100        ,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",['Alfred Hitchcock'],"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter']","502,318",$36.76M
9,Apocalypse Now,(1979),R,147 min,"Drama, Mystery, War",8.4,94        ,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,['Francis Ford Coppola'],"['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']","682,767",$83.47M
