,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
0,Forrest Gump,(1994),PG-13,142 min,"Drama, Romance",8.8,82        ,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",['Robert Zemeckis'],"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']","2,138,631",$330.25M
1,Life Is Beautiful,(1997),PG-13,116 min,"Comedy, Drama, Romance",8.6,59        ,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",['Roberto Benigni'],"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']","711,777",$57.60M
2,It's a Wonderful Life,(1946),PG,130 min,"Drama, Family, Fantasy",8.6,89        ,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,['Frank Capra'],"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell']","472,514",-
3,Casablanca,(1942),PG,102 min,"Drama, Romance, War",8.5,100        ,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,['Michael Curtiz'],"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']","584,028",$1.02M
4,Cinema Paradiso,(1988),R,155 min,"Drama, Romance",8.5,80        ,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,['Giuseppe Tornatore'],"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili', 'Isa Danieli']","268,764",$11.99M
5,Modern Times,(1936),G,87 min,"Comedy, Drama, Romance",8.5,96        ,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,['Charles Chaplin'],"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford']","248,577",$0.16M
6,City Lights,(1931),G,87 min,"Comedy, Drama, Romance",8.5,99        ,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",['Charles Chaplin'],"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers']","188,707",$0.02M
7,The Best of Youth,(2003),R,366 min,"Drama, Romance",8.5,89        ,An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.,['Marco Tullio Giordana'],"['Luigi Lo Cascio', 'Alessio Boni', 'Jasmine Trinca', 'Adriana Asti']","22,591",$0.27M
8,96,(II) (2018),Not Rated,158 min,"Drama, Romance",8.5,-,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,['C. Prem Kumar'],"['Vijay Sethupathi', 'Adithya Bhaskar', 'Trisha Krishnan', 'Gouri Kishan']","33,197",-
9,Your Name.,(2016),PG,106 min,"Animation, Drama, Fantasy",8.4,79        ,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",['Makoto Shinkai'],"['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita', 'Aoi Yûki']","287,650",$5.02M
