,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
0,Dangal,(2016),Not Rated,161 min,"Action, Biography, Drama",8.3,-,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,['Nitesh Tiwari'],"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']","197,560",$12.39M
1,Warrior,(2011),PG-13,140 min,"Action, Drama, Sport",8.2,71        ,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","[""Gavin O'Connor""]","['Tom Hardy', 'Nick Nolte', 'Joel Edgerton', 'Jennifer Morrison']","482,127",$13.66M
2,Children of Heaven,(1997),PG,89 min,"Drama, Family, Sport",8.2,77        ,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",['Majid Majidi'],"['Mohammad Amir Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi', 'Nafise Jafar-Mohammadi']","76,807",$0.93M
3,Rocco and His Brothers,(1960),Not Rated,179 min,"Crime, Drama, Sport",8.2,84        ,"Having recently been uprooted to Milan, Rocco and his four brothers each look for a new way in life when a prostitute comes between Rocco and his brother Simone.",['Luchino Visconti'],"['Alain Delon', 'Renato Salvatori', 'Annie Girardot', 'Claudia Cardinale']","20,031",-
4,Bhaag Milkha Bhaag,(2013),Not Rated,186 min,"Biography, Drama, Sport",8.2,-,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",['Rakeysh Omprakash Mehra'],"['Farhan Akhtar', 'Japtej Singh', 'Divya Dutta', 'Pawan Malhotra']","69,840",$1.63M
5,Paan Singh Tomar,(2012),Not Rated,135 min,"Action, Biography, Crime",8.2,-,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",['Tigmanshu Dhulia'],"['Irrfan Khan', 'Mahie Gill', 'Rajesh Abhay', 'Hemendra Dandotiya']","37,062",$0.04M
6,Ford v Ferrari,(2019),PG-13,152 min,"Action, Biography, Drama",8.1,81        ,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,['James Mangold'],"['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitríona Balfe']","419,982",$117.62M
7,Rocky,(1976),PG,120 min,"Drama, Sport",8.1,70        ,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,['John G. Avildsen'],"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']","599,019",$117.24M
8,Rush,(I) (2013),R,123 min,"Action, Biography, Drama",8.1,74        ,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,['Ron Howard'],"['Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde', 'Alexandra Maria Lara']","491,564",$26.95M
9,Raging Bull,(1980),R,129 min,"Biography, Drama, Sport",8.1,90        ,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",['Martin Scorsese'],"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci', 'Frank Vincent']","363,496",$23.38M
10,Million Dollar Baby,(2004),PG-13,132 min,"Drama, Sport",8.1,86        ,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",['Clint Eastwood'],"['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman', 'Jay Baruchel']","700,434",$100.49M
11,Lagaan: Once Upon a Time in India,(2001),PG,224 min,"Drama, Musical, Sport",8.1,84        ,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,['Ashutosh Gowariker'],"['Aamir Khan', 'Raghubir Yadav', 'Gracy Singh', 'Rachel Shelley']","117,003",$0.07M
12,Let's Go! India,(2007),Not Rated,153 min,"Drama, Family, Sport",8.1,68        ,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",['Shimit Amin'],"['Shah Rukh Khan', 'Vidya Malvade', 'Sagarika Ghatge', 'Shilpa Shukla']","82,289",$1.11M
13,Jo Jeeta Wohi Sikandar,(1992),Not Rated,174 min,"Comedy, Drama, Romance",8.1,-,"A rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race.",['Mansoor Khan'],"['Aamir Khan', 'Ayesha Jhulka', 'Deepak Tijori', 'Pooja Bedi']","23,757",-
14,Cinderella Man,(2005),PG-13,144 min,"Biography, Drama, Romance",8.0,69        ,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world.",['Ron Howard'],"['Russell Crowe', 'Renée Zellweger', 'Craig Bierko', 'Paul Giamatti']","192,477",$61.65M
15,The Hustler,(1961),Not Rated,134 min,"Drama, Sport",8.0,90        ,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,['Robert Rossen'],"['Paul Newman', 'Jackie Gleason', 'Piper Laurie', 'George C. Scott']","84,230",$8.28M
16,M.S. Dhoni: The Untold Story,(2016),Not Rated,184 min,"Biography, Drama, Sport",8.0,-,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,"['Mathur Goswami', 'Neeraj Pandey']","['Sushant Singh Rajput', 'Kiara Advani', 'Anupam Kher', 'Disha Patani']","63,170",$1.78M
17,The Wrestler,(2008),R,109 min,"Drama, Sport, Thriller",7.9,80        ,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",['Darren Aronofsky'],"['Mickey Rourke', 'Marisa Tomei', 'Evan Rachel Wood', 'Mark Margolis']","313,096",$26.24M
18,The Sandlot,(1993),PG,101 min,"Comedy, Drama, Family",7.8,55        ,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",['David Mickey Evans'],"['Tom Guiry', 'Mike Vitar', 'Art LaFleur', 'Patrick Renna']","96,630",$32.42M
19,Remember the Titans,(2000),PG,113 min,"Biography, Drama, Sport",7.8,48        ,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,['Boaz Yakin'],"['Denzel Washington', 'Will Patton', 'Wood Harris', 'Ryan Hurst']","222,581",$115.65M
